1,Introducción a la Programación en C#,Ana Pérez,programacion,2020,39.90
2,Patrones de Diseño en .NET,Luis García,programacion,2019,44.50
3,Fundamentos de Administración de Sistemas,María López,sistemas,2018,37.00
4,Redes de Computadores Avanzadas,Carlos Ruiz,sistemas,2021,52.25
5,Modelado y Diseño de Bases de Datos,Laura Sánchez,bases de datos,2017,41.75
6,SQL Avanzado para Analistas de Datos,Javier Martín,bases de datos,2022,46.00
7,Prácticas de Integración Continua con Jenkins,Sara Gómez,devops,2020,35.95
8,Automatización de Infraestructura con Terraform,Diego Romero,devops,2021,49.90
9,Microservicios con Kubernetes y Docker,Elena Navarro,devops,2023,55.20
10,Optimización de Consultas en PostgreSQL,Pedro Castillo,bases de datos,2021,43.30
11,Programación Orientada a Objetos con Java,Isabel Torres,programacion,2018,38.50
12,Introducción a Python para Ciencia de Datos,Raúl Herrera,programacion,2022,47.90
13,Algoritmos y Estructuras de Datos en C++,Marta Vidal,programacion,2019,42.75
14,Desarrollo de APIs REST con ASP.NET Core,Andrés Molina,programacion,2021,45.60
15,Arquitectura de Computadores Básica,Jorge Iglesias,sistemas,2016,34.20
16,Administración de Servidores Linux,Patricia Rueda,sistemas,2020,48.10
17,Virtualización con VMware y KVM,Tomás Delgado,sistemas,2021,50.40
18,Seguridad en Redes y Sistemas,Beatriz Núñez,sistemas,2022,53.80
19,Fundamentos de Bases de Datos Relacionales,Nuria Campos,bases de datos,2015,32.90
20,NoSQL y Bases de Datos Distribuidas,Sergio Vidal,bases de datos,2020,44.10
21,Modelado Dimensional para Data Warehousing,Clara Aguado,bases de datos,2019,46.95
22,Administración de Oracle Database,Óscar Benítez,bases de datos,2018,51.30
23,Introducción a DevOps y Cultura Ágil,Marina Soler,devops,2019,36.80
24,Infraestructura como Código con Ansible,Alberto Pons,devops,2020,42.60
25,CI/CD con GitLab y Docker,Ricardo Vives,devops,2021,47.20
26,Monitorización con Prometheus y Grafana,Silvia Calvo,devops,2022,39.75
27,Desarrollo Web con HTML5 y CSS3,David Romero,programacion,2017,29.90
28,JavaScript Moderno con ES2020,Inés Blanco,programacion,2021,36.40
29,Desarrollo Frontend con React,Samuel Duarte,programacion,2020,41.50
30,Desarrollo Full Stack con Node.js y MongoDB,Paula Izquierdo,programacion,2021,48.70
31,Programación Funcional en Scala,Héctor Lozano,programacion,2018,45.10
32,Programación Concurrente y Paralela,Alejandro Sanz,programacion,2019,49.80
33,Introducción al Machine Learning con Python,Noelia Ferrer,programacion,2020,52.60
34,Deep Learning con TensorFlow,Karla Medina,programacion,2021,55.90
35,Sistemas Operativos: Conceptos y Diseño,Ignacio Bravo,sistemas,2017,39.20
36,Cloud Computing con AWS Básico,Verónica Santos,sistemas,2019,46.30
